Zip,Sum of Number of Services,Sum of Number of Unique Beneficiaries,Count of Number of Unique Beneficiaries,Sum of Total Medicare Payment Amount,Average of Percent (%) of Beneficiaries Identified With Cancer,Average of Percent (%) of Beneficiaries Identified With Diabetes,Average of Average HCC Risk Score of Beneficiaries
75428,6073,1447,8,201398.72,0.03,0.282857143,0.93435
75432,561,415,2,25714.3,0.05,0.37,1.10525
75440,9533,1036,6,210853.04,0.055,0.276,0.887383333
75442,6622,664,4,201915.35,0.093333333,0.305,1.043575
75449,538,255,1,20544.14,0.06,0.38,1.3569
75450,807,282,1,80821.14,0.15,0.34,1.3306
75454,5163,365,4,119604.05,,0.33,1.1263
75455,320390,23645,64,8590087.65,0.124166667,0.354727273,1.37341875
75457,8825,1191,10,343676.2,0.125,0.311111111,1.22288
75460,908958,98446,129,26924127.94,0.123861386,0.35872,1.504027907
75462,67236,6476,13,2825959.23,0.097777778,0.3275,1.350753846
75473,370,299,1,50843.84,0.14,0.36,1.4328
75474,11689,1470,5,261919.01,0.05,0.308,1.18666
75482,158735,23873,62,7249245.7,0.10027027,0.354615385,1.346224194
75491,1892,82,1,42419.13,0.13,0.43,2.186
75494,37953,10276,32,1764925.11,0.089230769,0.33862069,1.339
75495,26646,1745,10,604157.95,0.091428571,0.316,1.24657
75497,6136,1500,1,243291.25,0.14,0.46,2.3741
75501,139428,22620,67,5773062.38,0.103469388,0.32453125,1.274874627
75503,2043930,226339,288,53689716.43,0.13083004,0.363501805,1.471643056
75551,30072,6051,17,1079356.98,0.075833333,0.348333333,1.248788235
75559,3840,1077,1,176962.38,0.1,0.36,1.5813
75560,1453,824,1,108762.82,0.12,0.44,2.0563
75563,567,383,3,21843.1,0.035,0.325,1.087066667
75568,10557,799,2,179373.96,0.07,0.34,1.2517
75570,29757,3748,11,604955.59,0.071666667,0.308181818,0.943754545
75601,972239,150880,222,35498551.73,0.138272251,0.383827751,1.712995045
75602,3170,741,3,102152.75,0.055,0.37,1.299066667
75604,43709,10273,39,1624703.88,0.075172414,0.322647059,1.21075641
75605,671070,100567,183,22633323.5,0.118188406,0.364647059,1.464599454
75606,1644,691,4,112547.38,0.1925,0.475,1.62805
75608,1755,1135,2,102006.75,0.14,0.37,1.5331
75630,3676,78,1,51307.99,,0.38,1.9602
75633,19569,4737,19,779702.58,0.084615385,0.349444444,1.244810526
75638,7072,641,3,153463.2,0.06,0.256666667,1.032666667
75644,40794,5336,18,1154376.06,0.083333333,0.352222222,1.397516667
75645,3011,305,2,148810.05,0.24,0.43,2.15055
75647,18793,2743,13,522469.13,0.09,0.3,1.147515385
75650,3921,564,4,107917.48,0.05,0.29,1.04985
75652,291183,14076,24,6433895.27,0.090588235,0.385833333,1.472295833
75654,6977,2216,7,244408.21,0.062,0.324,0.982914286
75656,31,25,1,416.41,0,,0.7978
75657,5010,1807,2,193096.62,0.08,0.4,1.8481
75662,38516,7256,26,1219422.26,0.089473684,0.3072,1.112638462
75667,901,657,1,84140.45,0.09,0.45,2.0746
75668,86,43,2,2109.53,,0.52,1.2954
75670,212424,24248,71,6877130.52,0.104901961,0.387727273,1.472221127
75672,1197,822,2,77000.11,0.08,0.36,1.2281
75681,61,31,2,454.57,0,,1.0068
75683,18354,1327,2,733085.07,0.065,0.38,1.56635
75684,3491,779,3,99009.55,0.1,0.256666667,0.972033333
75686,40124,3794,13,1087049.45,0.105,0.336923077,1.449961538
75691,998,142,1,24707.95,,0.3,1.1169
75692,6973,610,3,186009.77,0.1,0.426666667,1.9193
75693,178,84,1,2778.02,,0.25,0.9487
75701,2940810,462483,677,119297972,0.134561404,0.38334375,1.644158789
75702,979853,89699,131,30073158.42,0.142568807,0.360406504,1.400362595
75703,272961,54432,110,12422989.91,0.090140845,0.320416667,1.201412727
75704,2011,223,1,114312.77,0.08,0.43,2.2937
75706,7380,908,3,295157.96,0.115,0.505,1.783133333
75707,4508353,15354,7,7350027.39,0.092857143,0.383333333,1.562328571
75708,91170,36084,70,3822157.28,0.159423077,0.400645161,1.635071429
75709,3627,520,2,120028.85,0.095,0.35,1.13125
75750,56,25,1,3714.07,,0.6,7.1559
75751,469022,51127,88,11267206.26,0.120704225,0.332195122,1.388646591
75752,3402,611,4,84913.73,0.13,0.3275,1.425925
75755,2959,431,3,165932.07,0.11,0.37,1.683433333
75757,22449,2253,6,684213.42,0.0575,0.3475,1.136033333
75758,13817,3339,9,383159.56,0.071428571,0.327777778,1.198288889
75760,128,97,1,6660.1,,0.38,1.763
75762,17436,4180,11,474933.45,0.092,0.289,1.110772727
75763,102,49,1,1253,,0.29,0.9198
75765,3359,1179,4,48515.75,0.105,0.2225,0.87845
75766,71240,16378,52,3222441.52,0.087631579,0.346222222,1.349275
75771,29813,6022,17,712887.03,0.064615385,0.277142857,1.041876471
75773,28346,3354,14,510232.35,0.081818182,0.298461538,1.089042857
75778,1544,538,1,63905.31,0.05,0.57,2.5457
75783,40653,3926,11,1045736.61,0.101,0.308181818,1.123890909
75785,4220,977,14,164271.48,0.015,0.336666667,1.2928
75789,11406,1222,1,597011.06,0.06,0.56,2.4814
75790,358,166,1,4912.06,,0.23,0.8699
75791,12193,2557,12,469852.79,0.08,0.306666667,1.006483333
75792,196,33,1,7617.96,,0.33,1.2428
75801,494534,43772,99,13860530.67,0.099315068,0.346923077,1.297582828
75803,2390,243,1,73182.76,0.07,0.29,0.9108
75831,5069,82,1,54637.63,,0.49,2.4216
75833,2596,77,1,55491.72,0.19,0.44,1.7065
75835,29994,3910,18,1297026.72,0.111818182,0.373125,1.541877778
75838,20777,635,2,254656.38,0.115,0.405,2.16955
75839,12515,794,3,254974.27,0.055,0.243333333,1.013066667
75840,39476,1963,11,1271424.5,0.085,0.359,1.287727273
75844,1002,53,1,30558.04,,0.32,1.7825
75845,7548,508,3,166183.73,0.07,0.405,1.215133333
75846,8739,172,2,137636.12,0.13,0.44,1.7262
75855,3997,181,1,80369.22,0.07,0.22,0.8954
75860,7907,665,4,213941.72,0.126666667,0.3175,1.155475
75862,1305,375,3,92677.72,0.09,0.43,1.362066667
75901,186704,12585,21,4608267.02,0.098571429,0.341,1.48827619
75904,973535,114121,197,32469746.06,0.136058824,0.401755319,1.648860914
75929,1589,292,1,35108.44,0.08,0.38,1.423
75931,326,26,1,12003.15,,0.46,2.9298
75935,48185,5002,16,1358247.75,0.091,0.345333333,1.3237875
75939,5688,322,1,92963.52,0.11,0.43,1.4075
75941,5403,487,2,189901.73,0.1,0.46,1.46745
75944,229,140,1,2605.84,,0.28,0.7445
75946,361,14,1,7227.61,,,2.6415
75948,6778,1950,8,331623.99,0.123333333,0.4125,1.6659875
75949,13320,1261,3,379331.22,0.15,0.383333333,1.9372
75951,104649,10958,44,2917369.69,0.0853125,0.386153846,1.452506818
75956,1213,533,4,34972.53,0.09,0.325,1.368825
75961,224460,26426,71,8142379.19,0.132653061,0.3875,1.549825352
75962,1777,88,1,71556.65,,0.53,2.4033
75964,3263,407,2,70836.63,0.1,0.3,0.9047
75965,287639,48099,103,15554743.51,0.101875,0.33556701,1.367271845
75966,5982,658,4,76200.81,0.05,0.49,1.577525
75968,4050,510,1,107691.45,0.08,0.33,1.2668
75969,2367,227,2,41954.07,,0.11,1.5214
75972,29074,2541,6,805346.63,0.118333333,0.406666667,1.656483333
75975,3881,413,3,106385.16,0.05,0.376666667,1.663366667
75979,28346,3735,11,879674.74,0.08,0.441,1.723890909
76001,5655,1453,9,314728.98,0.1275,0.377777778,1.137111111
76002,1106,273,4,50697.31,0.045,0.445,1.461125
76006,811471,16058,66,1850224.97,0.150384615,0.402380952,1.952601515
76008,14369,3593,15,540104.42,0.09375,0.355,1.13286
76009,6559,598,4,97245.75,0.035,0.316666667,1.02115
76010,42355,6228,27,1956088.32,0.090909091,0.4288,1.595718519
76011,43934,9283,32,2571244.02,0.084705882,0.363333333,1.506996875
76012,769782,82859,201,33447642.58,0.167777778,0.36372973,1.668677612
76013,79489,8141,43,2018640.56,0.096296296,0.401923077,1.535372093
76014,471972,36918,114,16234762.92,0.125945946,0.385247525,1.471455263
76015,291075,46407,136,15014952.32,0.115473684,0.377479675,1.522895588
76016,35334,3898,23,1125529.19,0.111666667,0.382105263,1.589965217
76017,200318,18921,68,7312101.96,0.212826087,0.319636364,1.207644118
76018,34218,5698,32,1758788.23,0.106428571,0.46,1.693875
76020,47382,8571,39,1693316.91,0.1025,0.340294118,1.341623077
76021,378720,28410,107,12344554.74,0.1025,0.335934066,1.310109346
76022,526801,49371,155,18611211.35,0.18008,0.355069444,1.638403226
76023,2557,408,4,96049.41,,0.296666667,1.177725
76026,1338,338,1,60840.37,0.09,0.32,1.2753
76028,199890,39074,114,10061941.98,0.109726027,0.383786408,1.595188596
76031,5755,1699,7,1199625.44,0.09,0.29,1.286528571
76033,172415,23802,84,6129563.99,0.124833333,0.338701299,1.339141667
76034,388072,12913,55,3282791.93,0.112941176,0.310909091,1.135430909
76036,42324,3523,20,692098.83,0.076,0.366,1.35737
76039,290332,4499,12,738105.75,0.0975,0.405,1.27835
76040,3020147,51650,65,14745664.62,0.128148148,0.4335,1.976738462
76042,749,102,1,29181.27,0.11,0.17,0.7878
76043,37681,6022,19,1355965.02,0.0975,0.311176471,1.240026316
76048,314131,33293,68,8456145.03,0.116923077,0.312769231,1.281491176
76049,50331,5545,20,1418853.79,0.101333333,0.275789474,1.101545
76050,24238,605,2,190090.98,0.075,0.39,1.6609
76051,436424,54609,205,17353563.66,0.143700787,0.342392638,1.31858439
76052,116,113,1,10262.79,0.16,0.35,1.2942
76053,23834,3469,27,680870.19,0.101818182,0.361904762,1.264888889
76054,146098,28233,61,7863594.1,0.109459459,0.333703704,1.359319672
76058,25447,3330,11,654652.8,0.06,0.33875,1.205072727
76059,8277,1066,4,270459.98,0.09,0.29,1.318175
76060,2099,346,3,103382.14,0.16,0.546666667,2.020233333
76063,187346,37613,107,9340577.64,0.106944444,0.372988506,1.494515888
76065,43907,6897,31,1670860.36,0.100526316,0.341034483,1.245319355
76066,2271,235,1,39519.17,0.06,0.3,1.1204
76067,83797,14220,38,3475404.78,0.094137931,0.350857143,1.361815789
76071,162,79,1,11993.8,,0.48,2.3809
76078,1495,351,3,53459.88,0.08,0.34,0.933066667
76082,7400,842,7,222211.07,0.06,0.274285714,1.287971429
76085,137,62,1,3751.94,0.19,0.27,0.9915
76086,535150,44137,105,16487857.72,0.134117647,0.344059406,1.367258095
76087,27019,5586,16,1174507.13,0.084166667,0.38,1.5437875
