Zip,Sum of Number of Services,Sum of Number of Unique Beneficiaries,Count of Number of Unique Beneficiaries,Sum of Total Medicare Payment Amount,Average of Percent (%) of Beneficiaries Identified With Cancer,Average of Percent (%) of Beneficiaries Identified With Diabetes,Average of Average HCC Risk Score of Beneficiaries
77846,41,39,1,2543.98,,0.36,1.4264
77856,18904,631,3,365858.76,0.155,0.443333333,1.5765
77859,3571,558,3,194348.1,0.105,0.51,1.6077
77864,13582,2386,9,488741.44,0.095,0.354444444,1.4499
77865,732,153,1,15520.71,,0.58,1.056
77868,22410,3141,7,1280535.13,0.118571429,0.402857143,1.738428571
77871,4603,66,1,68358.17,,0.32,1.6167
77880,512,139,1,28031.07,0.1,0.22,1.0838
77901,1079808,136298,200,35333923.33,0.141785714,0.447628866,1.6612075
77904,136303,33096,83,8764355.37,0.088909091,0.352564103,1.109072289
77905,1472,230,3,38598.17,0.11,0.433333333,1.439666667
77912,149,145,1,7514.52,,0.2,1.2466
77954,17878,4572,20,688823.08,0.079230769,0.410625,1.500655
77957,25747,739,6,487086.02,0.11,0.448333333,1.635983333
77962,9147,520,1,208135.88,0.08,0.41,1.261
77963,7947,455,2,147106.63,0.09,0.395,1.45615
77964,32519,2444,11,794947.03,0.102857143,0.401111111,1.389763636
77979,57752,8110,25,1481038.07,0.095555556,0.3996,1.109684
77984,9755,1446,5,329713.8,0.1225,0.312,1.16984
77995,17298,2193,12,707617.07,0.102727273,0.4225,1.574875
78003,22531,1738,6,572077.01,0.086,0.445,1.810716667
78006,145607,18317,59,3873955.35,0.09525,0.309411765,1.226545763
78009,38978,6349,15,1230611.88,0.08375,0.355714286,1.211813333
78013,5867,475,2,144756.4,0.06,0.21,0.91655
78014,5161,744,4,243206.46,0.055,0.566666667,1.868975
78015,718,409,4,45592.61,0.12,0.393333333,1.53305
78016,2234,478,1,94724.27,0.05,0.56,1.6361
78017,193,160,2,11795.8,0.1,0.42,1.9313
78022,558,164,1,25249.46,0.13,0.55,2.0813
78023,42249,5341,23,1400860.3,0.078888889,0.398571429,1.352065217
78026,29225,3347,12,1021913.21,0.081428571,0.465833333,1.773408333
78028,632665,98761,165,23416729.82,0.123722628,0.284489796,1.257167879
78040,60411,9700,17,3484891.48,0.0575,0.588125,1.736341176
78041,989696,90039,191,36779838.2,0.099461538,0.564153005,1.859745026
78043,98576,8374,20,4521123.61,0.063076923,0.580555556,1.75612
78045,44815,9415,39,2083533.65,0.103684211,0.555882353,1.828417949
78046,18288,524,4,365741.22,0.055,0.596666667,1.549525
78052,6703,1232,5,187776.08,0.056666667,0.458,1.38462
78061,7682,1530,9,278078.38,0.056666667,0.45375,1.246255556
78063,2752,351,1,67194.29,0.05,0.25,0.9134
78064,33355,6172,25,1652648.57,0.078,0.449130435,1.538268
78070,28851,4695,15,722927.93,0.08875,0.266363636,1.0234
78071,1405,245,3,29437.07,0.09,0.28,1.131966667
78073,297,132,1,19340.14,,0.32,1.0229
78076,52153,2030,7,751732.71,0.075,0.568571429,2.074414286
78101,319,120,1,5267.46,,0.37,0.8995
78102,74896,8327,26,2506852.66,0.09375,0.49,1.779384615
78104,1897,370,1,313835.56,0.09,0.29,1.1257
78108,943,242,2,58376.67,0.08,0.43,1.9807
78109,4531,1375,10,135661.07,0.05,0.373,1.15791
78114,43023,4827,25,1518178.1,0.102857143,0.42,1.576736
78118,18063,411,2,308878.11,0.09,0.265,1.68395
78119,13689,2029,6,542169.75,0.095,0.401666667,1.486016667
78121,3547,559,5,69118.48,0.1,0.315,1.21626
78123,92,33,2,1613.5,0,,1.15635
78130,919558,88815,198,26587576.69,0.110555556,0.343461538,1.374620202
78131,76541,3248,1,1608675.1,0.15,0.45,2.2407
78132,22414,4143,15,709698.22,0.126363636,0.251333333,1.056686667
78133,663,62,1,14183.63,,0.31,0.7393
78147,31142,395,1,648661.79,0.12,0.71,4.2196
78148,16147,1443,8,417193.26,0.074,0.324285714,1.0843
78150,1412,114,3,28809.35,0,0.28,0.974833333
78154,201982,15541,47,6584365.98,0.086521739,0.322,1.099514894
78155,208897,42218,94,11602816.38,0.102686567,0.38127907,1.58032234
78160,1940,61,1,36974.17,,0.51,2.0137
78163,15136,1565,13,521569.59,0.066666667,0.257777778,1.092738462
78164,5511,398,2,105468.21,0.095,0.425,1.49275
78185,607,482,1,44753.6,0.09,0.44,1.7583
78201,68394,13281,41,4602688.94,0.09,0.423333333,1.71664878
78202,8810,1859,7,567686.35,0.103333333,0.56,2.061371429
78204,539,305,3,31304.65,0.055,0.525,1.4759
78205,332187,70319,193,24190334.17,0.096071429,0.500217391,2.249601036
78207,322945,57494,197,14951384.82,0.078488372,0.51220339,1.913308122
78209,279011,43296,93,13241453.2,0.096333333,0.341898734,1.355278495
78210,19570,1530,10,730054.97,0.056,0.542,2.52857
78211,74453,4094,19,1862804.2,0.042727273,0.566666667,2.195194737
78212,975114,77544,214,32635076.2,0.120915493,0.44785,1.691865421
78213,190491,44826,36,4893540.68,0.089090909,0.345625,1.271413889
78214,55084,8709,44,2146636.53,0.091904762,0.506818182,1.846327273
78215,454499,101543,124,19080999,0.105894737,0.525304348,2.233453226
78216,387168,77277,310,21088010.82,0.120222222,0.415663082,1.647865161
78217,640043,51878,141,19030490.92,0.139183673,0.410076923,1.632102128
78218,56702,10319,36,2302855.5,0.100952381,0.327586207,1.142580556
78219,2974,578,7,111029.89,0.103333333,0.384,1.4768
78220,22083,3593,16,871864.83,0.05,0.5025,1.50366875
78221,39707,7065,39,1459418.22,0.065789474,0.477142857,1.628441026
78222,230630,10596,44,5482388.74,0.121666667,0.444102564,1.854184091
78223,54645,7454,60,1935004.07,0.056896552,0.443555556,1.443306667
78224,155907,17849,69,6135562.93,0.091351351,0.549375,2.075766667
78225,10567,681,5,178053.92,,0.522,1.39196
78226,1351,191,5,36980.15,0,0.71,1.43296
78227,24708,3226,15,661634.64,0.057142857,0.370666667,1.060933333
78228,81844,10712,36,3497442.19,0.066521739,0.481333333,1.777522222
78229,5441043,680626,1550,177421462.1,0.140478983,0.427788184,1.878744903
78230,92663,25367,83,4392789.01,0.150363636,0.402769231,1.465406024
78231,59651,6297,36,2458377.61,0.084666667,0.365172414,1.409544444
78232,389740,24738,108,10806615.82,0.091666667,0.36627907,1.666437037
78233,646293,62612,122,23187670.01,0.132018349,0.394201681,1.57717459
78234,38437,15491,114,3101951.55,0.157446809,0.453369565,1.919403509
78235,85075,4688,16,2228649.19,0.144615385,0.48,2.0901375
78236,38691,14159,71,2450474.85,0.135,0.412068966,1.852564789
78237,22884,5578,29,761848.82,0.047777778,0.513461538,1.523782759
78238,147080,11658,44,4723852.08,0.088888889,0.427941176,1.570252273
78239,2825,485,6,49261.78,0.06,0.404,1.729366667
78240,643795,75165,259,41015013.15,0.132981366,0.408214286,1.569686486
78241,95,50,1,7087.88,,0.44,1.0805
78242,58,28,1,1239.41,,0.39,0.8594
78244,354,162,3,6310.24,0,0.41,0.976766667
78245,5543,1694,9,206527.75,0.065,0.4225,1.409655556
78247,20946,3859,34,999612.44,0.060714286,0.3548,1.306455882
78248,31327,8434,26,1351506.03,0.09,0.386666667,1.412965385
78249,55538,5152,32,1627883.22,0.074,0.369545455,1.37006875
78250,10996,4552,22,542425.32,0.063846154,0.345,1.383954545
78251,137790,20128,107,6227646.52,0.099310345,0.42032967,1.537669159
78253,12266,3323,19,583739.16,0.1,0.341333333,1.175421053
78254,4769,1032,6,229364.24,0.115,0.358,1.345716667
78255,12100,968,10,363063.39,0.11,0.385,1.3024
78256,20585,6664,24,1616289.05,0.094375,0.424782609,1.655341667
78257,19990,4913,16,722294.06,0.095,0.329230769,1.179025
78258,1613444,109727,307,50069770.19,0.110366972,0.330284698,1.281195114
78259,29030,5886,23,1373476.89,0.109375,0.438421053,1.770430435
78260,10455,3035,11,403113,0.092,0.511818182,2.508454545
78261,8410,3672,13,356140.35,0.114285714,0.4275,1.908069231
78263,9671,1227,4,219502.2,0.07,0.3175,0.972075
78264,22,16,1,1501.05,0,,0.8854
78266,4430,676,2,92870.83,0.14,0.375,1.65585
78269,453,368,1,43920.73,0.08,0.37,1.38
78332,212568,22641,48,6016727.25,0.095,0.529782609,1.743114583
78336,47999,9028,28,1876122.18,0.082857143,0.415416667,1.607882143
78341,2320,53,1,39381.35,,0.66,2.4551
78355,11542,898,3,375886.51,0.07,0.63,1.3329
78357,3274,103,2,51205.12,,0.655,2.35905
78361,33427,284,2,450054.79,0.1,0.63,2.5434
78362,10610,938,6,354800.24,0.08,0.3925,1.378933333
78363,183523,11759,34,3307932.96,0.080434783,0.487419355,1.576047059
78368,16302,880,3,361396.57,0.075,0.59,2.002
78373,10756,2144,5,477033,0.06,0.415,1.3479
78374,44616,8710,26,1474408.09,0.095333333,0.389130435,1.40955
78377,1168,484,4,80271.01,0.12,0.43,1.555225
78380,10522,700,7,241244.61,0.085,0.464285714,1.727385714
78382,90463,13937,48,2903079.08,0.098285714,0.377619048,1.481752083
78384,4393,169,1,126662.94,0.07,0.68,2.9051
78387,21596,1098,5,567674.77,0.064,0.6675,2.01208
78390,8078,486,4,171206.41,0.105,0.4775,1.68005
78401,3138,597,5,207992.78,0.2,0.5,1.76836
78404,1251377,181176,210,39290280.36,0.133246073,0.522355769,2.281925714
78405,223042,29081,123,7755970.87,0.121794872,0.501779661,2.038173984
78408,75329,4798,4,2635065.1,0.115,0.45,1.8652
78409,195,188,1,26346.26,0.16,0.4,1.4852
78410,44860,7107,37,1873242.18,0.088095238,0.416764706,1.316448649
78411,415904,75414,224,20913636.22,0.099817073,0.439121951,1.783258036
78412,480335,21321,73,12994123.2,0.154897959,0.376176471,1.495017808
78413,55277,12579,50,3136291,0.0728,0.432045455,1.455848
78414,225396,38038,129,11271694.17,0.105730337,0.428655462,1.541573643
78415,85715,3817,19,3281562.4,0.067,0.475,1.569678947
78416,23053,894,4,729823.65,0.115,0.48,2.222575
78418,35763,7332,30,1384160.39,0.100454545,0.426428571,1.712246667
78419,327,123,2,11447.81,0.14,0.49,2.64255
78501,468351,49554,123,19351493.06,0.082235294,0.544700855,1.962746341
78503,1600151,151609,230,62157117.72,0.104301676,0.588394495,2.380928696
78504,530667,75326,145,19467881.67,0.085789474,0.508615385,1.769734483
78516,139665,10767,15,4269496.1,0.082,0.544285714,1.835186667
78520,397775,63232,110,21116528.25,0.094578313,0.559805825,2.085973636
78521,386827,21658,50,9670157.15,0.101944444,0.497391304,1.617172
78523,2695,352,2,42144.46,0.11,0.535,1.39575
78526,137874,25539,75,7177585.89,0.09754717,0.5553125,1.856986667
78537,117974,10529,12,2156281.88,0.05375,0.605454545,1.513866667
78538,10943,29,1,338994.97,,0.75,6.2454
78539,1426064,133939,250,37487670.95,0.110171429,0.545145228,1.8449192
78541,36721,2111,6,1266412.01,0.09,0.615,2.386733333
78542,10491,917,5,358254.75,0.025,0.57,1.45042
78543,42025,2762,10,1014442.28,0.0625,0.691,2.41642
78550,1512493,179962,315,48243412.56,0.114804688,0.522941176,1.901713016
78552,11581,2109,14,408324.68,0.052222222,0.4625,1.159314286
78557,622,103,1,19916.67,,0.43,1.9156
78559,1295,454,2,35665.75,0.05,0.56,1.3822
78560,76422,1686,4,1494055.97,0.05,0.6525,2.834075
78566,5053,427,3,155963.76,0.09,0.53,2.1651
78570,16537,1035,5,466040.56,0.066666667,0.58,2.27
78572,764115,60220,126,21561940.48,0.087790698,0.538571429,2.058815873
78573,29919,1500,12,755759.45,0.054,0.544,1.810416667
78574,42871,1502,7,364500.5,0.1075,0.512857143,2.067028571
78575,109,98,2,15555.77,,0.465,2.03215
78576,15552,512,2,306841.92,0.05,0.56,1.313
78577,197887,13650,36,5031715.23,0.062857143,0.525555556,1.678072222
78578,16698,1810,6,316632.83,0.098333333,0.328333333,1.165316667
78580,161125,3365,11,3194223.36,0.073333333,0.55,1.749463636
78582,82940,6456,22,2815818.93,0.057272727,0.603181818,2.312995455
78584,5200,1563,2,94358.32,0.06,0.53,1.5621
78586,62614,6330,20,1543380.24,0.075833333,0.490555556,1.589845
78589,37178,3151,19,1024291.81,0.062,0.540555556,1.604042105
78593,73,43,1,551.58,,0.56,1.2937
78596,591593,68751,101,22945242.15,0.093472222,0.55742268,1.784313861
78597,6204,915,6,206363.26,0.093333333,0.416,1.505633333
78599,3486,570,3,168306.53,0.095,0.535,1.677433333
78602,70833,11777,51,2539039.56,0.08,0.300851064,1.184762745
78606,14468,1195,5,325886.38,0.056666667,0.32,1.17848
78610,8817,1976,11,357951.18,0.056666667,0.325555556,1.024572727
78611,66978,9987,30,2122351.35,0.11047619,0.291071429,1.207643333
78613,217297,40229,170,11817927.16,0.11047619,0.328472222,1.292734118
78615,372,19,1,14812.48,,0.58,2.4993
78617,95,34,1,443.27,,0.75,1.4283
78620,25725,3157,18,697020.26,0.087272727,0.239230769,1.18245
78621,12522,1228,8,288081.99,0.084,0.314285714,1.1247
78624,487449,44620,95,14778472.76,0.122650602,0.254831461,1.114021053
78626,889973,53027,117,21308615.83,0.133493976,0.33752381,1.378893162
78628,132886,29367,72,7982394.73,0.091666667,0.278225806,1.043738889
78629,39033,3633,20,1232973.48,0.074166667,0.431111111,1.44259
78631,1165,134,2,28439.48,,0.34,1.7073
78633,20879,5224,15,1001912.63,0.107272727,0.276153846,1.1217
78634,8181,1598,11,277972.29,0.113333333,0.341111111,1.087036364
78636,8338,680,4,238807.11,0.095,0.3575,1.644025
78639,4390,748,6,177194.61,0.075,0.358333333,1.457633333
78640,89828,15300,81,3678872.43,0.129019608,0.414347826,1.588155556
78641,24408,5350,30,1007551.26,0.093333333,0.340714286,1.291856667
78642,6491,1173,6,182293.31,0.09,0.27,0.948766667
78643,54574,16754,19,1604047.83,0.118666667,0.314705882,1.365357895
78644,30930,5320,21,989852.55,0.076875,0.392941176,1.294219048
78645,11465,1917,10,359661.29,0.086666667,0.282222222,1.22284
78648,24833,3988,12,1002572.6,0.111,0.46,1.7626
78652,1926,158,5,75020.81,,0.43,1.55716
78653,893,130,1,21730.42,0.1,0.3,0.9381
78654,376321,32592,64,9191990.16,0.1104,0.278983051,1.195046875
78657,6556,1515,3,271846.77,0.09,0.486666667,2.541166667
78660,31409,6881,44,1187003.13,0.070454545,0.330833333,1.069781818
78663,107,25,1,2799.88,0,0.75,1.2235
78664,285441,21570,81,8690188.26,0.079210526,0.320967742,1.197997531
78665,205101,52766,145,9211140.96,0.147117117,0.362313433,1.473944828
78666,609129,63242,144,21435848.72,0.123595506,0.34129771,1.384141667
78669,1882,319,3,67706.9,,0.52,2.062066667
78676,28549,2968,13,730249.72,0.1,0.247272727,0.987930769
78681,781912,43361,189,18692235.73,0.140416667,0.333503185,1.247587831
78701,129676,36844,203,7483738.09,0.126299213,0.406201117,1.864875862
78702,171089,14927,37,6570798.52,0.171818182,0.406129032,1.433856757
78703,28196,4915,38,1216631.48,0.147058824,0.296111111,1.405202632
78704,213798,33481,141,6601822.27,0.096857143,0.354473684,1.325755319
78705,1693904,204845,709,75699050.63,0.139822064,0.349368088,1.708245416
78712,680,150,3,23259.51,,0.275,1.101866667
78717,21917,3849,27,828784.18,0.07,0.297777778,1.069307407
78721,103263,4213,2,2014886.65,0.125,0.44,2.0298
78722,563,255,5,25008.91,0.046666667,0.39,1.26302
78723,35563,6044,37,1611471.07,0.075454545,0.464444444,2.332648649
78724,4946,213,3,447097.14,0.11,0.496666667,1.6897
78726,10584,1466,13,234667.62,0.09,0.2575,0.985123077
78727,13528,4962,15,614425.96,0.107142857,0.365,1.41108
78728,5872,674,7,109250.73,0.1,0.35,1.1306
78729,7115,2046,8,217691.44,0.056666667,0.27,1.046725
78730,17103,3958,13,1238483.47,0.08,0.284,1.182838462
78731,918732,121588,385,35920940,0.138217054,0.370088757,1.508497143
78732,18018,4299,15,1031553.93,0.115,0.282307692,1.177293333
78733,5770,997,5,397943.12,0.146666667,0.418,2.12878
78734,62016,10771,45,2639573.94,0.1064,0.253823529,1.031051111
78735,68170,9304,46,3748906.04,0.085517241,0.362857143,1.512106522
78736,138,68,1,13765.55,,0.38,1.9494
78737,19476,4522,26,1163328.05,0.097333333,0.287727273,1.050192308
78738,52245,4923,36,1859778.3,0.1125,0.250833333,1.037344444
78739,6109,1063,4,294392.87,0.103333333,0.356666667,1.5299
78741,3828,953,10,177511.12,0.15,0.398571429,1.54638
78744,1914,743,5,60216.41,0.113333333,0.33,1.1928
78745,1164556,77041,210,35283168.96,0.129300699,0.323953488,1.295242857
78746,209079,35300,157,10524556.99,0.103956044,0.265130435,1.116496815
78747,13155,600,2,552595.46,0.05,0.28,1.78085
78748,603758,47799,30,15701163.59,0.073571429,0.292,0.9936
78749,37939,6241,44,1291524.96,0.099375,0.252058824,1.062890909
78750,52790,9716,69,1947916.99,0.086969697,0.274222222,0.955446377
78751,129665,14487,66,6241977.79,0.085714286,0.399583333,1.838233333
78752,26535,12195,48,1554632.56,0.103548387,0.375641026,1.66998125
78753,10000,2377,25,366672.48,0.04375,0.2825,0.993856
78754,5167831,472383,10,56146561.01,0.068,0.4,1.71324
78756,239514,59220,138,16107483.61,0.137314815,0.360409836,1.896052174
78757,118003,32489,75,7548485.29,0.089787234,0.30245614,1.30198
78758,1177327,93282,250,36346517.28,0.131373626,0.354933333,1.473146
78759,1360563,306940,457,42039279.08,0.139382353,0.320454545,1.418551641
78764,455,32,1,25579.86,,0.34,1.8382
78801,141458,16919,43,4437444.7,0.113870968,0.453170732,1.530955814
78804,1110,132,1,31816.32,0.08,0.32,0.8904
78832,8007,294,3,75416.65,,0.535,1.332433333
78833,5208,78,1,74481.53,,0.42,1.9025
78834,67658,2578,15,1900715.73,0.064,0.525,1.806153333
78839,7734,673,5,148544.91,0.05,0.524,1.32196
78840,187391,15795,50,4941094.37,0.077037037,0.492765957,1.535356
78852,236032,15163,47,8351718.16,0.0764,0.585555556,2.280119149
78861,24355,2080,14,603043.69,0.11,0.399285714,1.509928571
78873,2064,83,2,34425.07,,0.305,1.5207
78880,5693,386,2,71929.27,0.07,0.585,1.418
78881,1025,33,1,23032.81,,0.42,2.0123
78884,2508,272,2,36747.1,0.07,0.355,1.43885
78912,327,209,1,18143.04,0.08,0.52,2.0252
78934,180983,17831,23,5105523.64,0.10875,0.3615,1.361608696
78935,348,322,1,43053.42,0.13,0.3,1.0625
78941,4529,1087,2,167734.26,0.08,0.275,1.1878
78942,30182,1468,9,653582.17,0.093333333,0.291111111,1.049244444
78945,87272,16159,39,3845363.54,0.110625,0.303142857,1.239805128
78947,2313,272,3,74012.02,0.09,0.365,1.877866667
78956,11221,1545,7,375007.04,0.085,0.351666667,1.174557143
78957,7435,3365,13,464857.87,0.130909091,0.383333333,1.635307692
78962,42989,2276,3,934142.08,0.09,0.33,1.2914
79005,1973,26,1,30250.35,,,1.3755
79007,28902,3659,17,877495.32,0.091818182,0.244285714,1.211370588
79009,3344,388,3,80170.06,,0.2,1.4057
79010,3977,214,1,88023.81,0.07,0.21,0.9703
79014,7655,1481,6,263760.6,0.086,0.226,0.993933333
79015,46137,6199,21,1282625.23,0.082941176,0.276315789,1.153209524
79016,787,264,2,38481.73,0.12,0.295,1.36115
79019,3467,468,3,87773.26,0.115,0.326666667,1.721266667
79022,1865,572,7,79911.91,,0.328,1.632071429
79027,640,134,3,34708.86,,0.52,2.245166667
79029,36143,7154,24,1088888.78,0.116666667,0.2955,1.271891667
79031,1295,29,1,20013.1,,,1.5299
79035,6222,656,5,125011.28,0.1,0.32,1.46072
79036,4561,103,1,78043.17,0.17,0.36,1.64
79039,774,15,1,10939.24,,,1.4718
79040,3821,41,1,49483.06,,0.37,1.4372
79041,2955,188,3,42986.51,0.23,0.335,1.307366667
79042,668,13,1,9865.59,0,,0.8748
79044,322,11,1,7844.85,,,2.1307
79045,8123,2559,16,293805.56,0.071666667,0.367857143,1.310475
79054,2495,60,2,43659.81,,0.445,2.234
79064,3803,58,1,55021.32,,0.36,1.8911
79065,84076,9807,35,3251649.82,0.089310345,0.291875,1.23616
79068,7676,629,4,127349.86,0.06,0.2725,1.067175
79070,18476,2227,10,432178.95,0.081666667,0.242,1.03665
79072,125998,18603,41,4458080.22,0.090714286,0.338421053,1.253056098
79079,1239,217,3,46617.2,0.13,0.34,1.379066667
79081,7168,753,3,182020.23,0.07,0.276666667,1.212866667
79083,1458,121,2,25258.91,,0.34,1.4331
79084,3031,50,1,42227.95,,0.3,1.7903
79086,1618,225,1,58131.82,0.08,0.25,1.1698
79087,1437,280,1,42415,0.04,0.28,1.022
79088,2295,705,6,92409.3,0.075,0.3,1.25705
79092,304,11,1,5796.48,0,,2.0059
79095,4462,250,2,95522.94,0.07,0.37,1.73715
79096,5470,391,2,123430.54,0.08,0.38,1.39215
79097,1321,39,1,24374.18,,0.44,2.008
79101,7520,1143,7,241010.14,0.096666667,0.245,1.183914286
79102,8420,1136,9,373912.84,0.09,0.252,1.231977778
79103,1943,796,5,42220.11,0.07,0.2375,0.93274
79106,2302741,336057,499,88452230.76,0.132406015,0.327041943,1.507213828
79107,14844,4241,22,492258.53,0.073333333,0.389411765,1.323572727
79109,100250,22532,80,3002217.51,0.099,0.25761194,1.15680625
79110,38232,1490,8,1608121.53,0.072,0.272,1.1963875
79118,36861,1118,8,1169588.18,0.103333333,0.316666667,1.4824125
79119,162156,29340,39,3948958.78,0.125882353,0.268421053,1.220823077
79121,7382,2460,9,466113.86,0.112,0.37,1.438811111
79124,404753,23389,63,12043270.86,0.104047619,0.313220339,1.428819048
79159,180,17,1,6877.37,,,1.5056
79201,11612,3169,14,473801.6,0.101666667,0.311538462,1.306971429
79225,2371,346,2,46183.55,0.08,0.295,1.0506
79226,13065,576,2,139209.97,0.05,0.25,1.30535
79227,2622,53,1,44914.42,,0.49,1.9373
79229,2099,350,1,158799.61,0.07,0.42,1.2804
79235,5423,437,3,94113.09,0.1,0.32,1.192633333
79241,2716,684,5,107228.81,0.116666667,0.34,1.28076
79244,2265,27,1,27263.62,,,1.5218
79245,5331,173,3,116398.76,0.075,0.295,1.237533333
79248,2737,52,1,45713.74,,0.38,1.9753
79252,6567,454,4,151301.59,0.103333333,0.3775,1.36185
79257,1558,24,1,23354.7,,,1.5683
79261,734,13,1,10835.69,,,1.0892
79311,39,29,1,224,,,1.2412
79312,560,16,1,11183.77,,,1.2255
79316,15600,2013,11,535493.35,0.084,0.338888889,1.171781818
79322,2130,904,3,83553.1,0.076666667,0.31,1.3063
79323,1828,676,6,114422.62,0.085,0.4525,1.541783333
79325,3653,206,2,67636.49,0.08,0.3,1.39085
79329,5749,778,4,139924.12,0.07,0.2725,1.161225
79331,16292,2087,15,491221.72,0.0875,0.365714286,1.352593333
79336,18351,2747,22,573942.39,0.108888889,0.366,1.304986364
79339,14808,1140,8,375070.6,0.068,0.35,1.5349125
79346,3280,532,3,84826.31,0.085,0.366666667,1.649966667
79347,20617,2185,12,505582.74,0.0875,0.309090909,1.350775
79350,745,31,1,18400.13,,0.39,2.1014
79355,572,22,1,14507.15,,,1.0881
79356,10504,443,3,147192.02,0.105,0.42,1.8259
79357,2062,51,1,39276.33,,0.45,2.3835
79359,2713,52,1,49977.9,,0.38,1.7827
79360,35143,2534,12,1590848.73,0.093333333,0.387272727,1.426708333
79363,7284,1170,4,188781.03,0.086666667,0.355,1.5108
79364,2700,476,4,55967.44,0.1,0.36,2.291325
79370,3019,37,1,36087.92,,0.32,1.8129
79371,3088,296,2,63952.52,0.06,0.3,1.48415
79373,6139,1872,6,271241.59,0.07,0.308333333,1.35695
79382,6273,796,3,152936.08,0.095,0.39,1.4513
79401,1833,935,4,130886.98,0.126666667,0.3,1.245575
79403,39691,446,4,1606462.3,0.16,0.4825,1.91165
79404,7849,1611,11,265896.97,0.0475,0.399,1.244227273
79407,175824,29656,84,7889315.62,0.107,0.342266667,1.379717857
79410,2227102,231543,328,54042118.09,0.139381818,0.35541806,1.65783811
79411,530,173,1,12429.2,0.06,0.31,1.0152
